speaker	emotion	aa_predicted	ap_predicted	dur_acc_predicted	ton	toff	dur_phr_predicted	fmin_predicted
male1	angry	0.5043	0.0323	0.2282	0	0	1.318	99.239784
male1	angry	0.5043	0.0323	0.2282	0	0	1.318	99.239784
male1	angry	0.5043	0.0323	0.2282	0	0	1.318	99.239784
male1	angry	0.5043	0.0323	0.2282	0	0	1.318	99.239784
male1	angry	0	0.0323	0	0	0	1.318	99.239784
male1	angry	0	0.0323	0	0	0	1.318	99.239784
male1	angry	0	0.0323	0	0	0	1.318	99.239784
male1	angry	0.1956	0.0323	0.1307	0	0	1.318	99.239784
male1	angry	0.1956	0.0323	0.1307	0	0	1.318	99.239784
male1	angry	0	0.0323	0	0	0	1.318	99.239784
male1	angry	0	0.0323	0	0	0	1.318	99.239784
male1	angry	0.4377	0.0323	0.1865	0	0	1.318	99.239784
male1	angry	0.4377	0.0651	0.1865	0	0	1.266938	99.239784
male1	angry	0.4377	0.0651	0.1865	0	0	1.266938	99.239784
male1	angry	0.4377	0.0651	0.1865	0	0	1.266938	99.239784
male1	angry	0.4207	0.0651	0.1557	0	0	1.266938	99.239784
male1	angry	0.4207	0.0651	0.1557	0	0	1.266938	99.239784
male1	angry	0.382	0.0651	0.159	0	0	1.266938	99.239784
